spring_id,spring_type,model,horizon,nse,mae,rmse,smape,emissions training [kg CO₂],energy training [kWh],emissions inference [kg CO₂],energy inference [kWh],head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units
395327,TRAIN,TRANSFORMER_LARGE,2,0.9860786874138925,0.006663559758430624,0.014008888517333768,2.8295665238129186,0.398871578417623,3.5995341516949697,4.0478017202647084e-05,0.0003652855033989738,8,4,16,2,64
395327,TRAIN,TRANSFORMER_LARGE,3,0.9711150192527632,0.010147790187779239,0.020181582108851702,4.103064002239935,0.398871578417623,3.5995341516949697,4.0478017202647084e-05,0.0003652855033989738,8,4,16,2,64
395327,TRAIN,TRANSFORMER_LARGE,4,0.9512134220597405,0.013066348679968618,0.02623158764713984,5.2180214732513965,0.398871578417623,3.5995341516949697,4.0478017202647084e-05,0.0003652855033989738,8,4,16,2,64
395343,TRAIN,TRANSFORMER_LARGE,1,0.9363026544536647,0.006175646184490702,0.01356195100776405,6.4555502308697,0.398871578417623,3.5995341516949697,4.1434267027480934e-05,0.0003739149823798951,8,4,16,2,64
395343,TRAIN,TRANSFORMER_LARGE,2,0.8775037791436346,0.009741898435849347,0.018776363916361023,10.60181065202887,0.398871578417623,3.5995341516949697,4.1434267027480934e-05,0.0003739149823798951,8,4,16,2,64
395343,TRAIN,TRANSFORMER_LARGE,3,0.8303491496846316,0.012333657470320914,0.02205766345426084,13.573929941801516,0.398871578417623,3.5995341516949697,4.1434267027480934e-05,0.0003739149823798951,8,4,16,2,64
395343,TRAIN,TRANSFORMER_LARGE,4,0.7930566288357059,0.014057509511014104,0.024342383823073726,15.628932042312417,0.398871578417623,3.5995341516949697,4.1434267027480934e-05,0.0003739149823798951,8,4,16,2,64
395350,TRAIN,TRANSFORMER_LARGE,1,0.9943686289871561,0.0008646960671385851,0.0016354187897584872,0.9778316596072545,0.398871578417623,3.5995341516949697,3.91861064663954e-05,0.000353626921871236,8,4,16,2,64
395350,TRAIN,TRANSFORMER_LARGE,2,0.9905252949043751,0.0011482536169807513,0.0021208543557847217,1.306727677248692,0.398871578417623,3.5995341516949697,3.91861064663954e-05,0.000353626921871236,8,4,16,2,64
395350,TRAIN,TRANSFORMER_LARGE,3,0.9867786824843896,0.0015280865279795794,0.0025048924343653066,1.73144004823302,0.398871578417623,3.5995341516949697,3.91861064663954e-05,0.000353626921871236,8,4,16,2,64
395350,TRAIN,TRANSFORMER_LARGE,4,0.9827583258555361,0.0017884753852014906,0.002860064635063077,2.0236170371769555,0.398871578417623,3.5995341516949697,3.91861064663954e-05,0.000353626921871236,8,4,16,2,64
395368,TRAIN,TRANSFORMER_LARGE,1,0.9881181315114435,0.0017441805618982485,0.002904975862250226,1.9389586051940908,0.398871578417623,3.5995341516949697,3.838664372302315e-05,0.00034641233551441317,8,4,16,2,64
