spring_id,model,horizon,nse,mae,rmse,smape,emissions training [kg CO₂],energy training [kWh],emissions inference [kg CO₂],energy inference [kWh],embedding_dim,dropout,learning_rate,architecture
395145,xLSTM,1,0.2242214040965974,0.33901616511767774,0.945701057268473,41.61909044203435,0.0017411524150988758,0.015712670244187234,1.7551773682607026e-05,0.00015839235536410342,64,0.1,0.0001,slstm_first
395145,xLSTM,2,0.047073505145524,0.42316869461913187,1.0481405254832845,64.24079054421458,0.0017411524150988758,0.015712670244187234,1.7551773682607026e-05,0.00015839235536410342,64,0.1,0.0001,slstm_first
395145,xLSTM,3,-0.019612839652571212,0.45734140750512026,1.0843212385935972,75.20423754621318,0.0017411524150988758,0.015712670244187234,1.7551773682607026e-05,0.00015839235536410342,64,0.1,0.0001,slstm_first
395145,xLSTM,4,0.006882532195482627,0.45905631765415084,1.070284422802015,64.78513357314584,0.0017411524150988758,0.015712670244187234,1.7551773682607026e-05,0.00015839235536410342,64,0.1,0.0001,slstm_first
395210,xLSTM,1,0.39447912129100515,0.4219570411149257,1.1460509340027436,33.8707710327562,0.0014773341781824192,0.01333189707055571,1.3845632929351772e-05,0.00012494705383308462,64,0.1,0.001,only_mlstm
395210,xLSTM,2,0.29222094610902904,0.48938580198191134,1.2392133373870273,36.97414019019396,0.0014773341781824192,0.01333189707055571,1.3845632929351772e-05,0.00012494705383308462,64,0.1,0.001,only_mlstm
395210,xLSTM,3,0.26192137345567634,0.5330191548613414,1.2656190356007018,42.173962835025115,0.0014773341781824192,0.01333189707055571,1.3845632929351772e-05,0.00012494705383308462,64,0.1,0.001,only_mlstm
395210,xLSTM,4,0.27352473728517024,0.5404770857517992,1.2557434657947604,43.999855081527734,0.0014773341781824192,0.01333189707055571,1.3845632929351772e-05,0.00012494705383308462,64,0.1,0.001,only_mlstm
395244,xLSTM,1,0.9375801823874919,0.036438566090959544,0.07361370167780358,7.702420037022952,0.0014522418684464692,0.013105456705469346,1.1568924813470218e-05,0.00010440137181415568,64,0.1,0.0001,only_mlstm
395244,xLSTM,2,0.8814719227544627,0.05350400318833836,0.10143318203644873,11.147538395604087,0.0014522418684464692,0.013105456705469346,1.1568924813470218e-05,0.00010440137181415568,64,0.1,0.0001,only_mlstm
395244,xLSTM,3,0.8141043649900581,0.0679286584101902,0.12702084369398745,13.754538980226256,0.0014522418684464692,0.013105456705469346,1.1568924813470218e-05,0.00010440137181415568,64,0.1,0.0001,only_mlstm
395244,xLSTM,4,0.7566316647541633,0.08127577734076177,0.14532550718095505,16.649733931115293,0.0014522418684464692,0.013105456705469346,1.1568924813470218e-05,0.00010440137181415568,64,0.1,0.0001,only_mlstm
395251,xLSTM,1,0.7533331047989897,0.20774001261341146,0.4496980118236676,18.90264354591161,0.000955713463951886,0.00862463870295533,1.3799098817192736e-05,0.0001245271163519541,64,0.1,0.001,only_mlstm
395251,xLSTM,2,0.6151526649357733,0.25632728756488005,0.5617731004159171,22.571571201308444,0.000955713463951886,0.00862463870295533,1.3799098817192736e-05,0.0001245271163519541,64,0.1,0.001,only_mlstm
395251,xLSTM,3,0.5408215617037113,0.29129303267894485,0.6137159677716566,25.43607208467422,0.000955713463951886,0.00862463870295533,1.3799098817192736e-05,0.0001245271163519541,64,0.1,0.001,only_mlstm
395251,xLSTM,4,0.5004905046131674,0.3059016894261808,0.6401466665793162,26.820526203598686,0.000955713463951886,0.00862463870295533,1.3799098817192736e-05,0.0001245271163519541,64,0.1,0.001,only_mlstm
